cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
5479.1578947368425,2024-03-24T09:08:08.239Z,45.1366397,10.8013131,8.753884231488833,0.042,0.04,3,148
5531.842105263158,2024-03-24T09:08:08.294Z,45.1366397,10.8013131,8.754884231488838,0.025,0.05,3,148
5584.526315789474,2024-03-24T09:08:08.349Z,45.1366398,10.8013131,8.756884231488833,0.044,0.04,3,148
5637.21052631579,2024-03-24T09:08:08.404Z,45.1366399,10.8013132,8.777884231488834,0.07,0.05,3,148
5689.894736842106,2024-03-24T09:08:08.459Z,45.13664,10.8013131,8.802884231488832,0.043,0.08,3,148
5742.578947368422,2024-03-24T09:08:08.514Z,45.1366399,10.8013131,8.819884231488835,0.016,0.07,3,148
5795.263157894738,2024-03-24T09:08:08.569Z,45.1366399,10.8013131,8.810884231488835,0.033,0.06,3,148
5847.947368421053,2024-03-24T09:08:08.624Z,45.13664,10.8013132,8.824884231488838,0.04,0.06,3,148
5900.631578947369,2024-03-24T09:08:08.679Z,45.1366401,10.8013133,8.810884231488835,0.011,0.07,3,148
5953.315789473685,2024-03-24T09:08:08.734Z,45.1366401,10.8013133,8.786884231488834,0.022,0.05,3,148
6006,2024-03-24T09:08:08.789Z,45.1366402,10.8013133,8.826884231488833,0.037,0.03,3,145
6061.611111111111,2024-03-24T09:08:08.844Z,45.1366403,10.8013134,8.830884231488838,0.041,0.06,3,145
6117.222222222223,2024-03-24T09:08:08.899Z,45.1366403,10.8013134,8.858884231488837,0.042,0.06,3,145
6172.833333333334,2024-03-24T09:08:08.954Z,45.1366404,10.8013134,8.823884231488833,0.031,0.07,3,145
6228.444444444445,2024-03-24T09:08:09.009Z,45.1366404,10.8013134,8.849884231488836,0.025,0.05,3,145
6284.055555555557,2024-03-24T09:08:09.064Z,45.1366404,10.8013134,8.843884231488836,0.009,0.05,3,145
6339.666666666668,2024-03-24T09:08:09.119Z,45.1366405,10.8013134,8.849884231488836,0.018,0.04,3,145
6395.277777777779,2024-03-24T09:08:09.174Z,45.1366405,10.8013135,8.856884231488834,0.025,0.04,3,145
6450.8888888888905,2024-03-24T09:08:09.229Z,45.1366407,10.8013135,8.863884231488832,0.048,0.05,3,145
6506.500000000002,2024-03-24T09:08:09.284Z,45.1366407,10.8013136,8.863884231488832,0.056,0.07,3,145
6562.111111111113,2024-03-24T09:08:09.339Z,45.1366408,10.8013137,8.871884231488835,0.083,0.07,3,145
6617.722222222224,2024-03-24T09:08:09.394Z,45.136641,10.8013137,8.879884231488838,0.108,0.1,3,145
6673.333333333336,2024-03-24T09:08:09.449Z,45.1366409,10.8013138,8.873884231488837,0.058,0.12,3,145
6728.944444444447,2024-03-24T09:08:09.504Z,45.1366409,10.8013138,8.853884231488834,0.027,0.07,3,145
6784.555555555558,2024-03-24T09:08:09.559Z,45.1366411,10.8013139,8.856884231488834,0.088,0.04,3,145
6840.16666666667,2024-03-24T09:08:09.614Z,45.1366411,10.8013139,8.856884231488834,0.06,0.09,3,145
6895.777777777781,2024-03-24T09:08:09.669Z,45.136641,10.801314,8.837884231488836,0.038,0.07,3,145
6951.388888888892,2024-03-24T09:08:09.724Z,45.136641,10.801314,8.840884231488836,0.055,0.04,3,145
7007,2024-03-24T09:08:09.779Z,45.136641,10.8013141,8.841884231488834,0.05,0.06,3,145
7062.611111111111,2024-03-24T09:08:09.834Z,45.1366411,10.8013141,8.842884231488831,0.028,0.05,3,145
7118.222222222223,2024-03-24T09:08:09.889Z,45.1366411,10.8013142,8.826884231488833,0.049,0.03,3,145
7173.833333333334,2024-03-24T09:08:09.944Z,45.1366412,10.8013142,8.842884231488831,0.021,0.05,3,145
7229.444444444445,2024-03-24T09:08:09.999Z,45.1366411,10.8013142,8.831884231488836,0.047,0.02,3,145
7285.055555555557,2024-03-24T09:08:10.054Z,45.1366414,10.8013142,8.860884231488832,0.065,0.05,3,145
7340.666666666668,2024-03-24T09:08:10.109Z,45.1366416,10.8013142,8.834884231488836,0.133,0.07,3,145
7396.277777777779,2024-03-24T09:08:10.164Z,45.1366415,10.8013143,8.833884231488838,0.084,0.13,3,145
7451.8888888888905,2024-03-24T09:08:10.219Z,45.1366416,10.8013143,8.844884231488834,0.063,0.08,3,145
7507.500000000002,2024-03-24T09:08:10.274Z,45.1366416,10.8013143,8.854884231488832,0.062,0.06,3,145
7563.111111111113,2024-03-24T09:08:10.329Z,45.1366418,10.8013143,8.845884231488832,0.101,0.06,3,145
7618.722222222224,2024-03-24T09:08:10.384Z,45.1366417,10.8013143,8.852884231488837,0.039,0.1,3,145
7674.333333333336,2024-03-24T09:08:10.439Z,45.1366418,10.8013144,8.837884231488836,0.058,0.04,3,145
7729.944444444447,2024-03-24T09:08:10.494Z,45.136642,10.8013143,8.837884231488836,0.109,0.06,3,145
7785.555555555558,2024-03-24T09:08:10.549Z,45.1366421,10.8013143,8.841884231488834,0.102,0.11,3,145
7841.16666666667,2024-03-24T09:08:10.604Z,45.1366421,10.8013144,8.841884231488834,0.078,0.1,3,145
7896.777777777781,2024-03-24T09:08:10.659Z,45.1366421,10.8013144,8.839884231488838,0.07,0.08,3,145
7952.388888888892,2024-03-24T09:08:10.714Z,45.136642,10.8013144,8.843884231488836,0.018,0.07,3,145
8008,2024-03-24T09:08:10.769Z,45.1366423,10.8013144,8.846884231488836,0.065,0.02,3,145
8063.611111111111,2024-03-24T09:08:10.824Z,45.1366423,10.8013146,8.816884231488835,0.084,0.06,3,145
8119.222222222223,2024-03-24T09:08:10.879Z,45.1366423,10.8013145,8.826884231488833,0.016,0.09,3,145
8174.833333333334,2024-03-24T09:08:10.934Z,45.1366422,10.8013147,8.834884231488836,0.126,0.02,3,145
8230.444444444445,2024-03-24T09:08:10.989Z,45.1366424,10.8013146,8.840884231488836,0.06,0.13,3,145
8286.055555555557,2024-03-24T09:08:11.044Z,45.1366425,10.8013145,8.854884231488832,0.016,0.06,3,145
8341.666666666668,2024-03-24T09:08:11.099Z,45.1366426,10.8013146,8.849884231488836,0.069,0.02,3,145
8397.27777777778,2024-03-24T09:08:11.154Z,45.1366427,10.8013145,8.847884231488834,0.083,0.07,3,145
8452.88888888889,2024-03-24T09:08:11.209Z,45.1366428,10.8013144,8.868884231488835,0.049,0.08,3,145
8508.500000000002,2024-03-24T09:08:11.264Z,45.1366428,10.8013144,8.882884231488838,0.068,0.05,3,145
8564.111111111113,2024-03-24T09:08:11.319Z,45.1366429,10.8013144,8.870884231488837,0.032,0.07,3,145
8619.722222222224,2024-03-24T09:08:11.374Z,45.1366428,10.8013143,8.894884231488838,0.027,0.03,3,145
8675.333333333336,2024-03-24T09:08:11.429Z,45.1366431,10.8013144,8.871884231488835,0.096,0.03,3,145
8730.944444444447,2024-03-24T09:08:11.484Z,45.1366431,10.8013144,8.867884231488837,0.078,0.1,3,145
8786.555555555558,2024-03-24T09:08:11.539Z,45.1366431,10.8013143,8.879884231488838,0.029,0.08,3,145
8842.16666666667,2024-03-24T09:08:11.594Z,45.1366432,10.8013143,8.877884231488835,0.053,0.03,3,145
8897.777777777781,2024-03-24T09:08:11.649Z,45.1366432,10.8013142,8.889884231488836,0.023,0.05,3,145
8953.388888888892,2024-03-24T09:08:11.704Z,45.1366433,10.8013141,8.924884231488832,0.051,0.02,3,145
9009,2024-03-24T09:08:11.759Z,45.1366433,10.8013141,8.904884231488836,0.03,0.06,3,145
9064.611111111111,2024-03-24T09:08:11.814Z,45.1366433,10.8013142,8.892884231488836,0.044,0.03,3,145
9120.222222222223,2024-03-24T09:08:11.869Z,45.1366434,10.8013141,8.878884231488833,0.024,0.04,3,145
9175.833333333334,2024-03-24T09:08:11.924Z,45.1366435,10.8013141,8.886884231488835,0.044,0.02,3,145
9231.444444444445,2024-03-24T09:08:11.979Z,45.1366436,10.8013141,8.884884231488833,0.025,0.04,3,145
9287.055555555557,2024-03-24T09:08:12.034Z,45.1366436,10.8013141,8.895884231488836,0.014,0.03,3,145
9342.666666666668,2024-03-24T09:08:12.089Z,45.1366438,10.801314,8.909884231488832,0.048,0.01,3,145
9398.27777777778,2024-03-24T09:08:12.144Z,45.136644,10.8013141,8.906884231488831,0.134,0.05,3,145
9453.88888888889,2024-03-24T09:08:12.199Z,45.1366441,10.8013141,8.917884231488834,0.143,0.13,3,145
9509.500000000002,2024-03-24T09:08:12.254Z,45.1366441,10.8013141,8.915884231488832,0.083,0.14,3,145
9565.111111111113,2024-03-24T09:08:12.309Z,45.1366441,10.801314,8.933884231488832,0.063,0.08,3,145
9620.722222222224,2024-03-24T09:08:12.364Z,45.1366443,10.8013139,8.924884231488832,0.124,0.07,3,145
9676.333333333336,2024-03-24T09:08:12.419Z,45.1366443,10.8013139,8.922884231488837,0.085,0.13,3,145
9731.944444444447,2024-03-24T09:08:12.474Z,45.1366444,10.8013139,8.896884231488833,0.094,0.09,3,145
9787.555555555558,2024-03-24T09:08:12.529Z,45.1366445,10.801314,8.894884231488838,0.104,0.09,3,145
9843.16666666667,2024-03-24T09:08:12.584Z,45.1366444,10.8013139,8.898884231488836,0.047,0.1,3,145
9898.777777777781,2024-03-24T09:08:12.639Z,45.1366444,10.801314,8.895884231488836,0.06,0.05,3,145
9954.388888888892,2024-03-24T09:08:12.694Z,45.1366444,10.8013139,8.910884231488836,0.046,0.06,3,145
10010,2024-03-24T09:08:12.749Z,45.1366445,10.8013138,8.917884231488834,0.042,0.05,3,145
10065.611111111111,2024-03-24T09:08:12.804Z,45.1366445,10.8013139,8.900884231488838,0.026,0.05,3,145
10121.222222222223,2024-03-24T09:08:12.859Z,45.1366445,10.801314,8.898884231488836,0.103,0.03,3,145
10176.833333333334,2024-03-24T09:08:12.914Z,45.1366449,10.8013142,8.911884231488834,0.261,0.1,3,145
